@relation flags

@attribute name {Afghanistan,Albania,Algeria,American-Samoa,Andorra,Angola,Anguilla,Antigua-Barbuda,Argentina,Argentine,Australia,Austria,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Botswana,Brazil,British-Virgin-Isles,Brunei,Bulgaria,Burkina,Burma,Burundi,Cameroon,Canada,Cape-Verde-Islands,Cayman-Islands,Central-African-Republic,Chad,Chile,China,Colombia,Comorro-Islands,Congo,Cook-Islands,Costa-Rica,Cuba,Cyprus,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican-Republic,Ecuador,Egypt,El-Salvador,Equatorial-Guinea,Ethiopia,Faeroes,Falklands-Malvinas,Fiji,Finland,France,French-Guiana,French-Polynesia,Gabon,Gambia,Germany-DDR,Germany-FRG,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong-Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory-Coast,Jamaica,Japan,Jordan,Kampuchea,Kenya,Kiribati,Kuwait,Laos,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Luxembourg,Malagasy,Malawi,Malaysia,Maldive-Islands,Mali,Malta,Marianas,Mauritania,Mauritius,Mexico,Micronesia,Monaco,Mongolia,Montserrat,Morocco,Mozambique,Nauru,Nepal,Netherlands,Netherlands-Antilles,New-Zealand,Nicaragua,Niger,Nigeria,Niue,North-Korea,North-Yemen,Norway,Oman,Pakistan,Panama,Papua-New-Guinea,Parguay,Peru,Philippines,Poland,Portugal,Puerto-Rico,Qatar,Romania,Rwanda,San-Marino,Sao-Tome,Saudi-Arabia,Senegal,Seychelles,Sierra-Leone,Singapore,Soloman-Islands,Somalia,South-Africa,South-Korea,South-Yemen,Spain,Sri-Lanka,St-Helena,St-Kitts-Nevis,St-Lucia,St-Vincent,Sudan,Surinam,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tonga,Trinidad-Tobago,Tunisia,Turkey,Turks-Cocos-Islands,Tuvalu,UAE,UK,US-Virgin-Isles,USA,USSR,Uganda,Uruguay,Vanuatu,Vatican-City,Venezuela,Vietnam,Western-Samoa,Yugoslavia,Zaire,Zambia,Zimbabwe}
@attribute landmass {1,2,3,4,5,6}
@attribute zone {1,2,3,4}
@attribute area INTEGER
@attribute population INTEGER
@attribute language {1,2,3,4,5,6,7,8,9,10}
@attribute religion {0,1,2,3,4,5,6,7}
@attribute bars {0,1,2,3,5}
@attribute stripes {0,1,2,3,4,5,6,7,9,11,13,14}
@attribute colours {1,2,3,4,5,6,7,8}
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute gold {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}
@attribute mainhue {Black,Blue,Brown,Gold,Green,Orange,Red,White}
@attribute circles {0,1,2,4}
@attribute crosses {0,1,2}
@attribute saltires {0,1}
@attribute quarters {0,1,4}
@attribute sunstars {0,1,2,3,4,5,6,7,9,10,14,15,22,50}
@attribute crescent {0,1}
@attribute triangle {0,1}
@attribute icon {0,1}
@attribute animate {0,1}
@attribute text {0,1}
@attribute topleft {Black,Blue,Gold,Green,Orange,Red,White}
@attribute botright {white,other}

@data
Afghanistan,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,Green,0,0,0,0,1,0,0,1,0,0,Black,other
Albania,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,Red,0,0,0,0,1,0,0,0,1,0,Red,other
Algeria,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,Green,0,0,0,0,1,1,0,0,0,0,Green,white
American-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,Blue,0,0,0,0,0,0,1,1,1,0,Blue,other
Andorra,3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,Gold,0,0,0,0,0,0,0,0,0,0,Blue,other
Angola,4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,Red,0,0,0,0,1,0,0,1,0,0,Red,other
Anguilla,1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,White,0,0,0,0,0,0,0,0,1,0,White,other
Antigua-Barbuda,1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,Red,0,0,0,0,1,0,1,0,0,0,Black,other
Argentina,2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,Blue,0,0,0,0,0,0,0,0,0,0,Blue,other
Argentine,2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,Blue,0,0,0,0,1,0,0,0,0,0,Blue,other
Australia,6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,Blue,0,1,1,1,6,0,0,0,0,0,White,other
Austria,3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,Red,0,0,0,0,0,0,0,0,0,0,Red,other
Bahamas,1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,Blue,0,0,0,0,0,0,1,0,0,0,Blue,other
Bahrain,5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,Red,0,0,0,0,0,0,0,0,0,0,White,other
Bangladesh,5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,Green,1,0,0,0,0,0,0,0,0,0,Green,other
Barbados,1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,Blue,0,0,0,0,0,0,0,1,0,0,Blue,other
Belgium,3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,Gold,0,0,0,0,0,0,0,0,0,0,Black,other
Belize,1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,Blue,1,0,0,0,0,0,0,1,1,1,Red,other
Benin,4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,Green,0,0,0,0,1,0,0,0,0,0,Green,other
Bermuda,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,Red,1,1,1,1,0,0,0,1,1,0,White,other
Bhutan,5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,Orange,4,0,0,0,0,0,0,0,1,0,Orange,other
Bolivia,2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,Red,0,0,0,0,0,0,0,0,0,0,Red,other
Botswana,4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,Blue,0,0,0,0,0,0,0,0,0,0,Blue,other
Brazil,2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,Green,1,0,0,0,22,0,0,0,0,1,Green,other
British-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,Blue,0,1,1,1,0,0,0,1,1,1,White,other
