@relation paw02a-600-5-0-BI
@attribute dim1 numeric
@attribute dim2 numeric
@attribute class{0,1}

@data
358,400,0
404,387,0
413,295,0
425,431,0
415,294,0
422,345,0
527,363,0
419,390,0
389,387,0
340,387,0
490,360,0
516,365,0
325,329,0
396,409,0
439,429,0
347,386,0
421,403,0
316,366,0
406,302,0
502,350,0
424,321,0
378,310,0
407,299,0
403,352,0
465,350,0
349,339,0
401,392,0
364,366,0
399,335,0
452,394,0
386,409,0
441,358,0
475,401,0
366,348,0
400,683,0
472,678,0
445,775,0
433,684,0
434,680,0
451,590,0
395,727,0
520,668,0
515,751,0
376,631,0
371,728,0
541,647,0
390,626,0
435,629,0
418,591,0
411,757,0
476,702,0
538,648,0
517,678,0
427,605,0
421,666,0
363,650,0
517,630,0
461,661,0
524,711,0
428,714,0
401,758,0
518,638,0
463,778,0
522,691,0
488,649,0
540,682,0
541,646,0
300,482,0
222,545,0
252,459,0
175,563,0
234,433,0
263,553,0
316,477,0
292,545,0
307,515,0
229,437,0
331,450,0
343,510,0
274,410,0
159,507,0
311,429,0
190,463,0
247,461,0
164,485,0
167,489,0
299,549,0
320,449,0
328,472,0
249,410,0
200,526,0
202,536,0
255,412,0
283,541,0
192,576,0
220,479,0
253,516,0
338,524,0
185,481,0
282,501,0
353,917,1
164,903,1
623,660,1
289,98,1
683,872,1
441,991,1
225,622,1
345,107,1
518,451,1
14,476,1
115,229,1
514,233,1
34,440,1
638,677,1
541,124,1
593,785,1
461,509,1
306,122,1
729,788,1
459,906,1
447,506,1
178,571,1
479,161,1
188,918,1
383,89,1
266,250,1
666,564,1
344,223,1
608,108,1
103,605,1
-25,805,1
66,308,1
322,621,1
-33,319,1
143,512,1
452,789,1
111,660,1
121,552,1
94,746,1
609,423,1
538,263,1
620,262,1
413,125,1
652,202,1
761,642,1
485,91,1
82,374,1
268,325,1
154,317,1
698,453,1
622,545,1
78,672,1
490,479,1
438,485,1
98,690,1
128,77,1
721,278,1
241,245,1
674,794,1
573,207,1
372,931,1
73,809,1
708,127,1
704,154,1
389,969,1
343,662,1
287,72,1
462,549,1
400,888,1
135,445,1
446,242,1
712,685,1
228,645,1
51,394,1
494,781,1
132,474,1
583,429,1
546,446,1
208,870,1
-2,681,1
352,599,1
636,325,1
741,762,1
201,316,1
64,915,1
293,854,1
58,526,1
614,361,1
17,67,1
627,445,1
362,109,1
31,575,1
-14,257,1
115,434,1
-59,911,1
671,460,1
218,367,1
737,778,1
526,462,1
64,107,1
-63,596,1
24,608,1
290,403,1
753,375,1
4,927,1
509,848,1
526,794,1
55,113,1
608,148,1
-3,654,1
432,874,1
552,343,1
143,676,1
138,537,1
-18,103,1
585,122,1
193,700,1
735,161,1
640,565,1
399,280,1
313,639,1
370,249,1
240,979,1
459,489,1
73,958,1
711,356,1
739,678,1
40,247,1
742,619,1
121,92,1
750,277,1
108,296,1
620,372,1
108,212,1
594,387,1
179,944,1
278,918,1
277,186,1
460,959,1
86,74,1
624,694,1
-13,728,1
330,887,1
175,119,1
585,632,1
551,333,1
345,442,1
740,304,1
502,134,1
262,261,1
346,718,1
669,527,1
285,898,1
632,906,1
527,980,1
207,68,1
673,322,1
456,825,1
519,596,1
142,951,1
637,556,1
571,877,1
39,225,1
318,682,1
504,569,1
315,99,1
680,549,1
179,607,1
582,443,1
759,341,1
333,112,1
433,843,1
453,566,1
-58,717,1
143,856,1
456,267,1
288,990,1
643,123,1
393,278,1
227,620,1
673,228,1
276,203,1
198,395,1
156,540,1
632,715,1
715,490,1
720,570,1
623,863,1
624,821,1
725,397,1
543,469,1
448,789,1
75,323,1
251,243,1
111,705,1
690,434,1
23,127,1
717,492,1
342,184,1
504,828,1
300,180,1
531,913,1
694,634,1
313,731,1
82,850,1
100,507,1
-32,627,1
-15,746,1
662,245,1
594,365,1
583,297,1
66,214,1
534,851,1
743,983,1
503,126,1
707,960,1
210,359,1
47,213,1
32,960,1
203,165,1
119,462,1
437,847,1
-8,176,1
646,966,1
-15,933,1
337,436,1
279,289,1
510,810,1
756,619,1
672,564,1
445,577,1
422,976,1
69,433,1
252,854,1
573,547,1
734,220,1
643,603,1
665,738,1
584,581,1
687,641,1
277,736,1
308,876,1
545,736,1
212,332,1
738,257,1
539,412,1
197,969,1
378,195,1
4,582,1
66,618,1
696,300,1
662,91,1
556,379,1
111,727,1
247,373,1
738,692,1
391,795,1
354,105,1
162,636,1
728,172,1
718,114,1
681,292,1
502,434,1
706,588,1
364,956,1
532,584,1
-49,620,1
716,711,1
59,873,1
236,615,1
598,165,1
-31,751,1
316,634,1
141,443,1
753,849,1
174,210,1
202,629,1
76,311,1
-37,951,1
596,85,1
279,274,1
651,886,1
352,753,1
591,972,1
453,506,1
-8,79,1
709,485,1
183,212,1
439,234,1
671,800,1
-19,609,1
167,263,1
15,630,1
510,95,1
492,199,1
559,66,1
463,578,1
502,235,1
624,322,1
733,641,1
69,713,1
542,507,1
576,128,1
557,526,1
587,966,1
566,342,1
762,895,1
92,517,1
61,555,1
698,315,1
727,192,1
682,755,1
79,534,1
27,683,1
335,978,1
646,951,1
-44,389,1
1,203,1
188,273,1
143,99,1
-38,208,1
51,476,1
669,886,1
281,276,1
165,330,1
8,947,1
209,155,1
331,679,1
-19,406,1
609,410,1
695,458,1
228,768,1
29,354,1
160,220,1
296,986,1
716,451,1
57,158,1
240,620,1
50,126,1
595,223,1
-55,632,1
752,214,1
460,481,1
1,959,1
660,903,1
415,934,1
691,194,1
313,836,1
490,175,1
400,816,1
-45,529,1
755,902,1
71,610,1
408,986,1
743,390,1
643,428,1
65,239,1
423,826,1
623,305,1
692,385,1
746,426,1
197,337,1
160,788,1
341,922,1
216,243,1
466,188,1
367,251,1
209,182,1
21,194,1
446,913,1
175,719,1
95,890,1
229,848,1
670,690,1
129,806,1
452,573,1
623,119,1
18,242,1
523,579,1
57,92,1
701,342,1
433,459,1
541,462,1
596,533,1
563,82,1
308,775,1
686,477,1
518,512,1
699,760,1
467,581,1
-7,299,1
222,709,1
603,602,1
696,696,1
558,460,1
397,172,1
232,613,1
588,206,1
-33,318,1
279,222,1
524,933,1
305,687,1
721,356,1
446,469,1
716,720,1
728,169,1
640,392,1
84,409,1
115,183,1
23,719,1
370,984,1
577,886,1
166,562,1
336,609,1
185,846,1
167,832,1
25,797,1
165,556,1
99,545,1
527,531,1
352,958,1
693,255,1
524,590,1
257,952,1
-62,990,1
677,818,1
540,304,1
438,476,1
131,618,1
242,808,1
729,715,1
511,143,1
11,527,1
544,966,1
-37,665,1
55,135,1
40,542,1
703,398,1
308,961,1
575,324,1
156,567,1
101,701,1
105,718,1
474,254,1
733,393,1
268,671,1
346,232,1
628,481,1
-24,181,1
82,687,1
261,841,1
728,513,1
520,927,1
375,876,1
365,216,1
194,959,1
-27,821,1
152,985,1
-27,67,1
390,973,1
585,467,1
661,821,1
71,242,1
321,882,1
637,457,1
561,979,1
666,220,1
57,896,1
345,917,1
707,896,1
686,140,1
250,711,1
576,398,1
390,192,1
644,711,1
62,447,1
268,753,1
694,485,1
648,79,1
623,404,1
420,100,1
251,843,1
740,911,1
352,956,1
724,941,1
-6,386,1
605,628,1
1,504,1
221,856,1
91,297,1
448,140,1
652,167,1
280,966,1
88,562,1
625,546,1
487,182,1
433,549,1
52,307,1
374,943,1
707,139,1
